Instructor Name,HCM Home Dept,Crosslisted Course Flag,Course Subject Short Nm,Course Number,Course Title Nm,Pct of Instructor Hrs Taught,Semester Year Name Concat,Prorated Instr Enrollment Cnt,Crs Academic Division Nm,Section Nbr
Abhay Parekh,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,126,Prob & Random P,50,2017 Fall,50.5,College of Engineering (Division Lvl),001
Abhay Parekh,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,126,Prob & Random P,50,2018 Fall,109.5,College of Engineering (Division Lvl),001
Adam Janin,Electrical Eng & Computer Sci,,Computer Science,188,Artif Intelligence,50,2016 Fall,256,College of Engineering (Division Lvl),001
Adam Wolisz,Electrical Eng & Computer Sci,,Electrical Engineering,290Q,Communicat Network,100,2017 Spring,1,College of Engineering (Division Lvl),001
Alberto Sangiovanni-Vincentelli,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2016 Fall,5,College of Engineering (Division Lvl),063
Alberto Sangiovanni-Vincentelli,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Spring,5,College of Engineering (Division Lvl),051
Alberto Sangiovanni-Vincentelli,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Fall,5,College of Engineering (Division Lvl),063
Alberto Sangiovanni-Vincentelli,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Spring,5,College of Engineering (Division Lvl),051
Alberto Sangiovanni-Vincentelli,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Fall,3,College of Engineering (Division Lvl),063
Alberto Sangiovanni-Vincentelli,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2019 Fall,3,College of Engineering (Division Lvl),063
Alberto Sangiovanni-Vincentelli,Electrical Eng & Computer Sci,,Engineering,296MA,Capstone Project,100,2019 Fall,4,College of Engineering (Division Lvl),043
Alberto Todeschini,Electrical Eng & Computer Sci,,Data Science,W210,Capstone,50,2017 Fall,8,School of Information (Division Lvl),003
Alberto Todeschini,Electrical Eng & Computer Sci,,Data Science,W210,Capstone,50,2017 Fall,8,School of Information (Division Lvl),004
Alberto Todeschini,Electrical Eng & Computer Sci,,Data Science,W210,Capstone,50,2018 Spring,7.5,School of Information (Division Lvl),001
Alberto Todeschini,Electrical Eng & Computer Sci,,Data Science,W210,Capstone,50,2018 Spring,8,School of Information (Division Lvl),004
Alberto Todeschini,Electrical Eng & Computer Sci,,Data Science,W210,Capstone,50,2018 Spring,8,School of Information (Division Lvl),005
Alberto Todeschini,Electrical Eng & Computer Sci,,Data Science,W210,Capstone,50,2018 Fall,7.5,School of Information (Division Lvl),001
Alberto Todeschini,Electrical Eng & Computer Sci,,Data Science,W210,Capstone,50,2018 Fall,7.5,School of Information (Division Lvl),002
Alberto Todeschini,Electrical Eng & Computer Sci,,Data Science,W210,Capstone,50,2018 Fall,7.5,School of Information (Division Lvl),004
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,170,Intro Cs Theory,50,2018 Spring,313,College of Engineering (Division Lvl),001
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,170,Intro Cs Theory,50,2018 Fall,424,College of Engineering (Division Lvl),001
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2018 Spring,2,College of Engineering (Division Lvl),222
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2018 Fall,1,College of Engineering (Division Lvl),225
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2017 Fall,50,College of Engineering (Division Lvl),078
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2017 Fall,50,College of Engineering (Division Lvl),782
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2018 Spring,100,College of Engineering (Division Lvl),078
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2018 Fall,63,College of Engineering (Division Lvl),078
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2019 Fall,43,College of Engineering (Division Lvl),078
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2017 Spring,1,College of Engineering (Division Lvl),012
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2018 Fall,1,College of Engineering (Division Lvl),001
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Spring,1,College of Engineering (Division Lvl),012
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Fall,1,College of Engineering (Division Lvl),001
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,276,Cryptography,100,2017 Fall,24,College of Engineering (Division Lvl),001
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,100,2016 Fall,11,College of Engineering (Division Lvl),130
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,100,2017 Spring,11,College of Engineering (Division Lvl),132
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,100,2019 Spring,21,College of Engineering (Division Lvl),153
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2016 Fall,2,College of Engineering (Division Lvl),083
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Spring,2,College of Engineering (Division Lvl),021
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Fall,5,College of Engineering (Division Lvl),083
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Spring,6,College of Engineering (Division Lvl),021
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Fall,4,College of Engineering (Division Lvl),083
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Spring,4,College of Engineering (Division Lvl),021
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Fall,7,College of Engineering (Division Lvl),083
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,50,2018 Spring,7.5,College of Engineering (Division Lvl),028
